"user";"domain";"id";"centra";"department";"title";"status";"completion_fraction";"creation_date";"last_update_date";"template"
"lv";"Domain3";67;"cntr6";"dptK";"Data-Driven Insights";"Missing Metadata";0,471819306723773;2024-09-28;2025-03-15;"v2022"
"kr";"Domain1";68;"cntr2";"dptD";"Innovative Project Solutions";"Missing Metadata";0,992102828575298;2022-07-13;2025-06-17;"v2022"
"dk";"Domain2";69;"cntr4";"dptG";"Innovative Project Solutions";"Expired";0,0778639460913837;2021-10-19;2025-02-01;"v2024"
"uq";"Domain1";70;"cntr2";"dptD";"Comprehensive Analysis Framework";"Missing Metadata";0,0247081376146525;2023-09-02;2025-08-16;"v2024"
"le";"Domain2";71;"cntr4";"dptG";"Innovative Project Solutions";"Orphan";0,575168506242335;2021-11-30;2023-08-25;"v2024"
"qh";"Domain3";72;"cntr5";"dptJ";"Advanced Research Techniques";"Test";0,607663982082158;2023-08-07;2024-12-05;"v2021"
"kz";"Domain2";73;"cntr4";"dptG";"Comprehensive Analysis Framework";"Expired";0,00436520925723016;2023-04-15;2025-04-14;"v2022"
"eq";"Domain2";74;"cntr3";"dptF";"Advanced Research Techniques";"Defunct";0,743699993938208;2024-09-04;2024-10-03;"v2022"
"ef";"Domain3";75;"cntr6";"dptL";"Advanced Research Techniques";"Expired";0,0467767203226686;2024-06-07;2025-04-26;"v2024"
"gb";"Domain1";76;"cntr1";"dptA";"Innovative Project Solutions";"Completed";0,478229105239734;2024-09-22;2024-10-01;"v2024"
"cl";"Domain2";77;"cntr4";"dptH";"Advanced Research Techniques";"Completed";0,938555045751855;2024-06-20;2024-09-14;"v2022"
"so";"Domain3";78;"cntr5";"dptI";"Advanced Research Techniques";"Expired";0,0596376904286444;2022-02-23;2025-01-13;"v2024"
"si";"Domain3";79;"cntr5";"dptI";"Enhancing Data Management Practices";"Orphan";0,953640901716426;2023-07-07;2025-05-26;"v2022"
"sl";"Domain1";80;"cntr2";"dptC";"Enhancing Data Management Practices";"Test";0,770805104402825;2021-12-30;2025-07-07;"v2022"
"co";"Domain3";81;"cntr6";"dptL";"Comprehensive Analysis Framework";"Expired";0,851549400249496;2024-08-30;2024-12-13;"v2024"
"dg";"Domain1";82;"cntr1";"dptB";"Advanced Research Techniques";"Test";0,217964601237327;2025-02-16;2025-09-12;"v2022"
"gi";"Domain1";83;"cntr2";"dptC";"Innovative Project Solutions";"Not Updated";0,994472747668624;2021-05-03;2022-09-02;"v2021"
"by";"Domain3";84;"cntr5";"dptJ";"Data-Driven Insights";"Defunct";0,693523060297593;2020-11-03;2024-10-04;"v2021"
"cv";"Domain1";85;"cntr1";"dptB";"Comprehensive Analysis Framework";"Active";0,287133126053959;2025-02-17;2025-06-24;"v2021"
"gv";"Domain1";86;"cntr1";"dptA";"Enhancing Data Management Practices";"Defunct";0,817942433292046;2023-12-18;2025-02-12;"v2021"
"nx";"Domain3";87;"cntr5";"dptJ";"Comprehensive Analysis Framework";"Orphan";0,95942445914261;2022-12-25;2024-12-11;"v2024"
"jb";"Domain1";88;"cntr2";"dptC";"Advanced Research Techniques";"Expired";0,900421502767131;2022-04-10;2024-03-24;"v2024"
"mr";"Domain1";89;"cntr1";"dptA";"Comprehensive Analysis Framework";"Active";0,126839369302616;2023-10-11;2025-01-19;"v2022"
"ew";"Domain1";90;"cntr2";"dptC";"Innovative Project Solutions";"Missing Metadata";0,0596327660605311;2025-01-14;2025-09-24;"v2021"
"id";"Domain2";91;"cntr4";"dptG";"Enhancing Data Management Practices";"Test";0,818412929074839;2024-09-27;2025-07-26;"v2024"
"lx";"Domain2";92;"cntr4";"dptH";"Comprehensive Analysis Framework";"Completed";0,860316375503317;2025-08-06;2025-08-15;"v2024"
"ji";"Domain2";93;"cntr4";"dptH";"Data-Driven Insights";"Missing Metadata";0,0451996305491775;2024-08-29;2025-09-02;"v2024"
"ei";"Domain2";94;"cntr4";"dptG";"Innovative Project Solutions";"Orphan";0,224530511768535;2022-06-18;2025-01-01;"v2024"
"xv";"Domain3";95;"cntr6";"dptK";"Advanced Research Techniques";"Not Updated";0,704817934893072;2023-06-05;2024-11-20;"v2024"
"fu";"Domain3";96;"cntr5";"dptI";"Advanced Research Techniques";"Completed";0,098695662105456;2023-01-14;2024-03-03;"v2022"
"gd";"Domain2";97;"cntr4";"dptH";"Data-Driven Insights";"Completed";0,0158910749014467;2023-04-11;2025-01-31;"v2021"
"pa";"Domain1";98;"cntr2";"dptC";"Innovative Project Solutions";"Test";0,905630844179541;2021-05-20;2023-10-20;"v2021"
"fy";"Domain3";99;"cntr6";"dptK";"Data-Driven Insights";"Completed";0,0490334695205092;2022-09-22;2024-09-17;"v2024"
"zf";"Domain1";100;"cntr1";"dptA";"Enhancing Data Management Practices";"Defunct";0,874156204983592;2023-05-03;2025-03-01;"v2022"
"ae";"Domain3";101;"cntr5";"dptJ";"Advanced Research Techniques";"Orphan";0,120570289902389;2020-12-06;2025-07-26;"v2022"
"mn";"Domain3";102;"cntr6";"dptL";"Enhancing Data Management Practices";"Orphan";0,404164124047384;2025-01-17;2025-03-14;"v2022"
"kt";"Domain3";103;"cntr5";"dptI";"Advanced Research Techniques";"Test";0,229922983096913;2020-08-02;2022-08-14;"v2022"
"vu";"Domain1";104;"cntr1";"dptB";"Innovative Project Solutions";"Expired";0,776235409313813;2021-08-03;2025-06-14;"v2022"
"jd";"Domain2";105;"cntr3";"dptE";"Enhancing Data Management Practices";"Defunct";0,576325166039169;2021-07-26;2024-01-09;"v2022"
"na";"Domain3";106;"cntr6";"dptL";"Data-Driven Insights";"Orphan";0,194804755505174;2022-12-20;2024-09-15;"v2022"
"xu";"Domain3";107;"cntr6";"dptL";"Advanced Research Techniques";"Expired";0,424757360480726;2021-06-16;2025-05-09;"v2022"
"fg";"Domain1";108;"cntr2";"dptD";"Innovative Project Solutions";"Missing Metadata";0,439975396031514;2020-09-12;2025-09-22;"v2022"
"rm";"Domain1";109;"cntr1";"dptB";"Advanced Research Techniques";"Orphan";0,908846454694867;2021-03-28;2024-09-22;"v2024"
"vn";"Domain1";110;"cntr1";"dptA";"Data-Driven Insights";"Orphan";0,46266450220719;2022-03-07;2023-03-10;"v2022"
"de";"Domain3";111;"cntr5";"dptI";"Enhancing Data Management Practices";"Missing Metadata";0,931597844231874;2023-10-22;2025-04-24;"v2024"
"vx";"Domain3";112;"cntr6";"dptK";"Comprehensive Analysis Framework";"Active";0,38945489260368;2021-12-05;2022-10-10;"v2024"
"hn";"Domain1";113;"cntr1";"dptB";"Innovative Project Solutions";"Missing Metadata";0,80526344710961;2025-04-29;2025-06-03;"v2021"
"xf";"Domain1";114;"cntr2";"dptC";"Comprehensive Analysis Framework";"Not Updated";0,768555719871074;2024-01-10;2024-02-27;"v2022"
"tf";"Domain2";115;"cntr4";"dptH";"Comprehensive Analysis Framework";"Missing Metadata";0,340907289879397;2020-10-29;2022-02-12;"v2021"
"nf";"Domain3";116;"cntr6";"dptK";"Enhancing Data Management Practices";"Completed";0,93789343861863;2022-04-16;2024-03-19;"v2024"
"wm";"Domain3";117;"cntr5";"dptJ";"Advanced Research Techniques";"Expired";0,503831279929727;2022-12-06;2025-03-24;"v2022"
"rq";"Domain2";118;"cntr3";"dptF";"Comprehensive Analysis Framework";"Test";0,324277308071032;2025-04-06;2025-06-11;"v2021"
"at";"Domain1";119;"cntr1";"dptA";"Data-Driven Insights";"Defunct";0,442645444534719;2023-05-16;2023-12-10;"v2021"
"zv";"Domain3";120;"cntr5";"dptJ";"Innovative Project Solutions";"Defunct";0,486973477527499;2023-09-18;2024-09-26;"v2024"
"gh";"Domain1";121;"cntr2";"dptC";"Advanced Research Techniques";"Expired";0,841602640692145;2023-10-18;2024-12-04;"v2021"
"bz";"Domain1";122;"cntr2";"dptD";"Advanced Research Techniques";"Missing Metadata";0,94915941148065;2023-07-29;2024-05-24;"v2022"
"un";"Domain3";123;"cntr6";"dptK";"Advanced Research Techniques";"Missing Metadata";0,470369812333956;2020-12-14;2024-08-28;"v2022"
"gu";"Domain2";124;"cntr3";"dptF";"Comprehensive Analysis Framework";"Missing Metadata";0,371061983751133;2025-08-16;2025-09-21;"v2024"
"df";"Domain3";125;"cntr6";"dptK";"Advanced Research Techniques";"Completed";0,225908515276387;2021-09-10;2023-08-09;"v2021"
"uc";"Domain3";126;"cntr6";"dptK";"Comprehensive Analysis Framework";"Completed";0,0046066262293607;2022-05-28;2025-03-20;"v2022"
"pb";"Domain3";127;"cntr6";"dptK";"Comprehensive Analysis Framework";"Expired";0,709437357727438;2020-11-24;2024-08-22;"v2022"
"lp";"Domain2";128;"cntr4";"dptH";"Innovative Project Solutions";"Completed";0,696368342731148;2023-03-25;2025-01-12;"v2021"
"qn";"Domain1";129;"cntr2";"dptD";"Data-Driven Insights";"Completed";0,0146949514746666;2024-02-24;2024-04-09;"v2021"
"ql";"Domain3";130;"cntr5";"dptI";"Innovative Project Solutions";"Orphan";0,187682691961527;2021-04-05;2021-07-13;"v2021"
"jp";"Domain3";131;"cntr5";"dptJ";"Comprehensive Analysis Framework";"Test";0,536854033591226;2022-05-17;2025-06-10;"v2021"
"qm";"Domain2";132;"cntr4";"dptG";"Data-Driven Insights";"Active";0,159009179566056;2025-08-10;2025-09-24;"v2022"
"ph";"Domain2";133;"cntr4";"dptH";"Data-Driven Insights";"Defunct";0,246009987778962;2025-08-04;2025-08-17;"v2021"
"xz";"Domain2";134;"cntr4";"dptH";"Advanced Research Techniques";"Not Updated";0,922314992407337;2025-02-01;2025-09-03;"v2022"
"oq";"Domain3";135;"cntr6";"dptL";"Advanced Research Techniques";"Not Updated";0,363104607677087;2023-09-08;2025-06-14;"v2024"
"bn";"Domain3";136;"cntr5";"dptJ";"Innovative Project Solutions";"Orphan";0,992817378835753;2021-11-22;2024-06-27;"v2022"
"ub";"Domain2";137;"cntr3";"dptE";"Enhancing Data Management Practices";"Active";0,725724642863497;2023-08-09;2024-03-10;"v2024"
"se";"Domain1";138;"cntr1";"dptA";"Comprehensive Analysis Framework";"Orphan";0,149220468243584;2023-01-05;2025-08-07;"v2022"
"hr";"Domain1";139;"cntr1";"dptA";"Advanced Research Techniques";"Not Updated";0,591902024811134;2023-04-19;2025-03-21;"v2022"
"eu";"Domain1";140;"cntr1";"dptA";"Advanced Research Techniques";"Active";0,848735488951206;2024-03-26;2024-04-30;"v2021"
"ke";"Domain2";141;"cntr4";"dptH";"Comprehensive Analysis Framework";"Active";0,73399445717223;2024-06-12;2024-11-18;"v2022"
"hd";"Domain1";142;"cntr2";"dptD";"Comprehensive Analysis Framework";"Not Updated";0,46249585878104;2025-03-29;2025-06-17;"v2022"
"jr";"Domain2";143;"cntr3";"dptF";"Enhancing Data Management Practices";"Expired";0,511086887912825;2023-02-07;2025-02-26;"v2022"
"rp";"Domain2";144;"cntr4";"dptH";"Enhancing Data Management Practices";"Missing Metadata";0,556383954826742;2024-05-21;2025-09-07;"v2021"
"fv";"Domain3";145;"cntr6";"dptL";"Comprehensive Analysis Framework";"Expired";0,200795648619533;2022-09-13;2023-04-13;"v2022"
"cb";"Domain3";146;"cntr5";"dptI";"Data-Driven Insights";"Expired";0,889190941583365;2025-01-03;2025-10-08;"v2022"
"ja";"Domain3";147;"cntr6";"dptL";"Innovative Project Solutions";"Completed";0,154383993940428;2020-06-18;2024-07-14;"v2022"
"lc";"Domain3";148;"cntr6";"dptL";"Enhancing Data Management Practices";"Missing Metadata";0,584599561057985;2022-09-20;2023-09-18;"v2024"
"hc";"Domain2";149;"cntr3";"dptE";"Innovative Project Solutions";"Active";0,480936974985525;2024-01-02;2024-03-02;"v2021"
"pw";"Domain2";150;"cntr4";"dptG";"Innovative Project Solutions";"Test";0,197283214656636;2024-02-10;2025-03-07;"v2024"
"ut";"Domain2";151;"cntr3";"dptE";"Advanced Research Techniques";"Test";0,978424471337348;2025-09-01;2025-09-02;"v2021"
"yt";"Domain3";152;"cntr6";"dptL";"Comprehensive Analysis Framework";"Test";0,319031463703141;2023-12-23;2025-04-30;"v2021"
"uk";"Domain3";153;"cntr5";"dptI";"Comprehensive Analysis Framework";"Completed";0,0447886961046606;2022-06-28;2023-11-05;"v2021"
"hw";"Domain3";154;"cntr5";"dptJ";"Data-Driven Insights";"Defunct";0,753686090698466;2024-10-17;2025-06-25;"v2024"
"wg";"Domain1";155;"cntr2";"dptC";"Comprehensive Analysis Framework";"Missing Metadata";0,566858948906884;2024-11-07;2025-08-24;"v2021"
"xm";"Domain3";156;"cntr6";"dptL";"Innovative Project Solutions";"Test";0,00974699202924967;2021-09-19;2024-03-04;"v2024"
"nh";"Domain1";157;"cntr2";"dptC";"Enhancing Data Management Practices";"Expired";0,300754070747644;2020-04-18;2021-04-15;"v2022"
"wh";"Domain3";158;"cntr5";"dptI";"Advanced Research Techniques";"Defunct";0,863295207964256;2022-12-19;2023-05-28;"v2024"
"rz";"Domain2";159;"cntr3";"dptE";"Enhancing Data Management Practices";"Active";0,232148367678747;2021-04-06;2022-05-04;"v2024"
"to";"Domain1";160;"cntr1";"dptA";"Innovative Project Solutions";"Not Updated";0,058539804071188;2024-10-19;2025-05-17;"v2024"
"ce";"Domain1";161;"cntr1";"dptA";"Innovative Project Solutions";"Expired";0,711049911566079;2024-05-11;2024-07-07;"v2021"
"ro";"Domain1";162;"cntr2";"dptD";"Data-Driven Insights";"Expired";0,5087485301774;2022-01-04;2024-09-16;"v2024"
"ns";"Domain3";163;"cntr6";"dptL";"Data-Driven Insights";"Completed";0,404947039438412;2025-07-13;2025-09-13;"v2021"
"ks";"Domain1";164;"cntr2";"dptD";"Enhancing Data Management Practices";"Not Updated";0,424513918114826;2020-12-31;2021-05-11;"v2024"
"kj";"Domain2";165;"cntr4";"dptG";"Data-Driven Insights";"Orphan";0,913965784478933;2025-08-10;2025-09-01;"v2022"
"ob";"Domain1";166;"cntr2";"dptC";"Data-Driven Insights";"Defunct";0,902006491553038;2024-06-14;2025-02-26;"v2024"
"fd";"Domain3";167;"cntr5";"dptJ";"Enhancing Data Management Practices";"Not Updated";0,218065282329917;2023-06-17;2025-09-03;"v2022"
"ni";"Domain3";168;"cntr6";"dptK";"Advanced Research Techniques";"Test";0,574894546996802;2020-09-11;2023-03-27;"v2021"
"ey";"Domain3";169;"cntr5";"dptJ";"Innovative Project Solutions";"Not Updated";0,0406531363260001;2023-08-07;2023-11-10;"v2021"
"ij";"Domain2";170;"cntr3";"dptE";"Advanced Research Techniques";"Missing Metadata";0,540597511455417;2024-10-08;2025-06-21;"v2024"
"eb";"Domain3";171;"cntr6";"dptK";"Advanced Research Techniques";"Not Updated";0,112828462384641;2023-01-03;2023-08-14;"v2024"
"oe";"Domain2";172;"cntr3";"dptE";"Comprehensive Analysis Framework";"Test";0,757453867699951;2024-08-24;2024-10-23;"v2021"
"uo";"Domain1";173;"cntr1";"dptB";"Enhancing Data Management Practices";"Defunct";0,111144179478288;2020-05-03;2020-11-11;"v2021"
"my";"Domain3";174;"cntr5";"dptI";"Comprehensive Analysis Framework";"Expired";0,204114401014522;2025-02-09;2025-05-23;"v2022"
"ky";"Domain2";175;"cntr4";"dptH";"Comprehensive Analysis Framework";"Defunct";0,767703813267872;2023-06-30;2025-02-13;"v2024"
"zh";"Domain2";176;"cntr4";"dptG";"Innovative Project Solutions";"Not Updated";0,422344665275887;2020-12-25;2021-02-02;"v2024"
"ba";"Domain1";177;"cntr1";"dptB";"Enhancing Data Management Practices";"Missing Metadata";0,54695398081094;2020-07-08;2020-10-07;"v2021"
"sa";"Domain2";178;"cntr3";"dptE";"Data-Driven Insights";"Orphan";0,880518837366253;2023-05-11;2024-06-27;"v2022"
"ag";"Domain1";179;"cntr1";"dptB";"Comprehensive Analysis Framework";"Orphan";0,727629451546818;2024-10-01;2025-05-03;"v2022"
"rb";"Domain2";180;"cntr3";"dptE";"Innovative Project Solutions";"Defunct";0,75284618884325;2020-05-02;2021-10-28;"v2021"
"jk";"Domain3";181;"cntr5";"dptI";"Comprehensive Analysis Framework";"Completed";0,600738950073719;2023-10-14;2024-09-04;"v2022"
"fx";"Domain3";182;"cntr6";"dptL";"Comprehensive Analysis Framework";"Defunct";0,101066739298403;2022-12-23;2025-01-20;"v2021"
"ye";"Domain2";183;"cntr3";"dptF";"Enhancing Data Management Practices";"Expired";0,826222706120461;2022-05-12;2024-05-22;"v2021"
"wn";"Domain2";184;"cntr3";"dptE";"Innovative Project Solutions";"Orphan";0,738248956389725;2022-03-30;2023-01-02;"v2024"
"oz";"Domain1";185;"cntr2";"dptC";"Comprehensive Analysis Framework";"Defunct";0,882975653978065;2020-11-26;2024-08-22;"v2021"
"in";"Domain2";186;"cntr4";"dptG";"Advanced Research Techniques";"Defunct";0,0841650082729757;2025-10-02;2025-10-07;"v2021"
"xt";"Domain3";187;"cntr6";"dptL";"Data-Driven Insights";"Orphan";0,829472503392026;2023-11-22;2025-02-04;"v2024"
"nk";"Domain2";188;"cntr4";"dptG";"Comprehensive Analysis Framework";"Active";0,274816288612783;2023-12-17;2024-08-25;"v2022"
"fo";"Domain3";189;"cntr6";"dptL";"Advanced Research Techniques";"Expired";0,334215859882534;2023-09-30;2025-05-07;"v2024"
"rf";"Domain1";190;"cntr1";"dptB";"Enhancing Data Management Practices";"Not Updated";0,887037044391036;2021-04-03;2021-10-22;"v2021"
"qe";"Domain2";191;"cntr4";"dptG";"Advanced Research Techniques";"Not Updated";0,191326073836535;2025-07-04;2025-08-16;"v2022"
"xp";"Domain3";192;"cntr6";"dptL";"Innovative Project Solutions";"Test";0,0121913377661258;2021-04-07;2025-06-16;"v2021"
"fr";"Domain1";193;"cntr1";"dptB";"Data-Driven Insights";"Missing Metadata";0,705344221321866;2023-12-30;2025-08-01;"v2021"
"gg";"Domain2";194;"cntr4";"dptH";"Data-Driven Insights";"Active";0,0376187188085169;2025-05-17;2025-10-07;"v2024"
"us";"Domain3";195;"cntr5";"dptI";"Comprehensive Analysis Framework";"Completed";0,822525524534285;2023-02-04;2025-09-03;"v2024"
"vz";"Domain2";196;"cntr4";"dptH";"Enhancing Data Management Practices";"Expired";0,903434539213777;2023-09-06;2024-01-08;"v2021"
"ge";"Domain1";197;"cntr1";"dptB";"Data-Driven Insights";"Test";0,166457612067461;2021-07-29;2024-05-26;"v2021"
"cn";"Domain3";198;"cntr6";"dptL";"Data-Driven Insights";"Completed";0,207595467101783;2025-02-27;2025-03-26;"v2024"
"ad";"Domain3";199;"cntr5";"dptJ";"Enhancing Data Management Practices";"Orphan";0,795880174264312;2025-05-07;2025-06-25;"v2021"
